gene_id,id,astrocytes_1,astrocytes_2,endothelial_1,endothelial_2,microglia_macrophage_1,microglia_macrophage_2,myelinating_oligodendrocyte_1,myelinating_oligodendrocyte_2,neurons_1,neurons_2,newly_formed_oligodendrocyte_1,newly_formed_oligodendrocyte_2,opc_1,opc_2
"Tecpr2 - Mus musculus",2144865,4.632454,4.616705,0.767526,0.790661,0.829456,0.771692,4.691618,4.790192,3.178947,4.038323,8.157135,6.299156,3.508992,3.569981
"Tecr - Mus musculus",3645145,136.275384,122.046584,54.206057,57.128906,77.791412,110.747827,283.329503,273.029041,131.254289,113.874382,192.207105,245.959292,111.051105,152.242951
"Tecrl - Mus musculus",2444966,0.1,0.1,1.487114,1.897539,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tecta - Mus musculus",109575,0.1,0.105462,0.1,0.1,0.1,0.1,0.1,0.1,0.359834,0.476621,0.12375,0.11283,0.183239,0.218162
"Tectb - Mus musculus",109574,0.491755,0.320944,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Teddm1 - Mus musculus",2668439,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tef - Mus musculus",98663,51.631424,44.062337,20.954642,19.868196,25.475942,29.494958,15.007174,21.663064,30.394186,30.359382,29.346972,44.032046,42.127623,56.927308
"Tek - Mus musculus",98664,0.939281,0.818245,123.820625,114.979343,0.1,0.401113,0.1,0.1,0.101205,0.262026,0.1,0.1,0.359089,0.1
"Tekt1 - Mus musculus",1333819,0.161942,1.638802,0.216747,0.197683,0.1,0.1,0.1,0.193103,0.182589,0.217981,0.1,0.103174,0.1,0.294526
"Tekt2 - Mus musculus",1346335,0.861781,1.334537,0.1,0.1,0.191075,0.13413,0.1,0.1,6.952246,8.473806,1.148559,0.708397,0.561719,0.290218
"Tekt3 - Mus musculus",1918312,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tekt4 - Mus musculus",1919090,0.600754,0.873115,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.129134,0.195666,0.244428
"Tekt5 - Mus musculus",1917676,2.391666,2.326702,0.1,0.1,0.119658,0.110308,0.11243,0.421188,0.947541,0.867531,0.1,0.169522,0.11429,0.206268
"Telo2 - Mus musculus",1918968,5.063601,4.32138,2.19832,2.25773,5.117436,8.294691,2.290695,2.678591,5.915091,5.95222,4.476366,5.810009,5.774074,7.237645
"Tenc1 - Mus musculus",2387586,0.60309,0.759248,13.88035,12.854873,0.183655,0.508001,1.082724,1.354686,1.766957,1.835392,2.339735,3.034928,3.05306,3.43823
